A valid repository for "Hatchelorette" could not be found in the following locations:
Hatchelorette
C:\Users\Jeff/.cookiecutters/Hatchelorette
         336164 function calls (327325 primitive calls) in 2.969 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    3.781    0.130 __init__.py:1(<module>)
        1    0.000    0.000    2.969    2.969 profile:0(run_module(modname, run_name='__main__'))
    351/1    0.000    0.000    2.969    2.969 :0(exec)
     54/1    0.000    0.000    2.969    2.969 <string>:1(<module>)
        1    0.000    0.000    2.969    2.969 <frozen runpy>:201(run_module)
        1    0.000    0.000    2.969    2.969 <frozen runpy>:65(_run_code)
        1    0.000    0.000    2.969    2.969 __main__.py:1(<module>)
    815/6    0.000    0.000    2.953    0.492 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    390/2    0.016    0.000    2.953    1.477 <frozen importlib._bootstrap>:1349(_find_and_load)
    388/2    0.000    0.000    2.953    1.477 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    380/2    0.000    0.000    2.953    1.477 <frozen importlib._bootstrap>:911(_load_unlocked)
    343/2    0.016    0.000    2.953    1.477 <frozen importlib._bootstrap_external>:1020(exec_module)
        1    0.000    0.000    2.953    2.953 cli.py:1(<module>)
        1    0.000    0.000    2.453    2.453 main.py:1(<module>)
    33/21    0.000    0.000    1.594    0.076 :0(__import__)
        1    0.000    0.000    1.391    1.391 repository.py:1(<module>)
        1    0.000    0.000    1.391    1.391 zipfile.py:1(<module>)
        2    0.000    0.000    1.219    0.609 prompt.py:1(<module>)
      128    0.000    0.000    1.156    0.009 __init__.py:287(compile)
      237    0.000    0.000    1.156    0.005 __init__.py:330(_compile)
      126    0.000    0.000    1.141    0.009 _compiler.py:743(compile)
   141/86    0.000    0.000    1.062    0.012 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      126    0.000    0.000    0.781    0.006 _parser.py:970(parse)
  564/126    0.094    0.000    0.781    0.006 _parser.py:451(_parse_sub)
  793/133    0.188    0.000    0.734    0.006 _parser.py:511(_parse)
        1    0.000    0.000    0.594    0.594 console.py:1(<module>)
        1    0.000    0.000    0.500    0.500 _base_connection.py:1(<module>)
1114/1108    0.000    0.000    0.469    0.000 :0(__build_class__)
        6    0.000    0.000    0.453    0.076 exceptions.py:1(<module>)
      389    0.031    0.000    0.438    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.422    0.422 generate.py:1(<module>)
